Alimento (por 100 gramos);Calorías (Kcal.);Carbohidratos (g.);Proteínas (g.);Grasas (g.);Fibra (g.)
Carne Cordero, Paletilla;314;0;16;28;0
Carne Cordero, Pierna;240;0;18;19;0
Carne de res, rabo de buey, cocida;251;0;30,8;13,19;0
Carne de venado / ciervo asado;190;0;36,08;3,93;0
Carne Oveja;235;0;18;17;0
Carne Ternera, Magra;109;0;21;3;0
Carne Vaca, Chuleta;290;0;16;25;0
Carne Vaca, Filete;197;0;19;14;0
Carne Vaca, Guisar;176;0;20;11;0
Carne Vaca, Magra;123;0;20;5;0
Carne Vaca, Solomillo;272;0;17;23;0
Carpa ahumada;198;0;27,84;8,74;0
Carpa al vapor o escalfado;160;0;22,42;7,04;0
Carpa, al horno o asada, grasa no agregada al cocinar;160;0,1;22,46;7,06;0
Castañas;245;52,96;3,17;2,2;5,1
Caviar Ruso;264;4;25;18;0
Cebada;360;84;8;2;6
Cebolla;40;9;1;0;1
Cebollino crudo;30;4,35;3,27;0,73;2,5
Centollo;127;0;20;5;0
Cerdo, chicharrones, cocidos;468;1,7;33,92;35,09;0
Cerdo, lomo, empanizado, frito;294;15,22;22;15,55;0,9
Cerdo, lomo, rebozado, frito;193;7,57;23,29;7,07;0,2
Cerdo, solomillo, para estofado;142;0;27,24;2,8;0
Cereal (copos de maíz de Kellogg's);357;84,1;7,5;0,4;3,3
Cereal (Crispix de Kellogg);378;87,19;6,59;0,8;1
Cereal (Kellogg's All-Bran);259;74,24;13,14;4,9;29,3
Cereal (Kellogg's Cocoa Krispies);389;87,9;4,6;2,7;1,4
Cereal (Kellogg's Rice Krispies);381;85,05;6,75;2,05;0,4
Cereal (Kellogg's Special K);377;73,4;17,79;1,79;1,4
Cereal (salvado de avena crujiente de Kellogg);395;70,3;9,2;14,1;12,7
Cereal (trigo triturado y salvado);339;80,65;10,93;2,06;14,7
Cereal (Weetabix Grano Entero);371;81,5;11,43;2,86;11,4
Cereal, arroz crujiente;394;86,22;6,69;1,26;0,7
Cereal, arroz inflado;383;87,78;7,01;0,9;1,4
Cereal, avena tostada;357;75,5;10,71;5,36;10,7
Cereal, muesli;355;74,9;8,6;5,4;7,7
Cereal, trigo inflado, endulzado;380;88,5;5,7;2,2;5
Cereal, trigo inflado, simple;366;76,39;16,26;2,15;9,4
Cereales Cornflakes;378;84;7;0;3
Cereales, copos de maíz;357;84,1;7,5;0,4;3,3
Cerezas;50;12,18;1;0,3;1,6
Cerezas congeladas;46;11,02;0,92;0,44;1,6
Cerveza;43;3,55;0,46;0;0
Cerveza baja en carbohidratos;27;0,73;0,17;0;0
Ceviche;62;3,58;10,34;0,75;0,5
Champán;84;3;0;0;0
Champiñones crudos;22;3,26;3,09;0,34;1
Champiñones, cocidos, hechos con aceite;52;5,11;2,1;3,27;2,1
Champiñones, crema fresca;81;7,01;2,91;4,98;1,3
Chanquetes;79;2;11;3;0
Cheetos Queso, Golosina;158;15;2;10;0
Chícharos, cocidos, frescos, sin grasa añadida en la cocción;110;19,36;5,92;1,35;4,2
Chicharrones;540;1;20;51;0
Chile con frijoles sin carne;42;8,19;2,39;0,33;2,7
Chili con carne con frijoles;104;10,71;6,88;3,81;2,7
Chirimoya;75;18;1,2;0.6;2.4
Chirivías, cocidas, sin grasa añadida en la cocción;71;16,9;1,31;0,3;3,6
Chirivías, crema;105;13,5;2,44;4,89;2,1
Chocolate blanco;539;59,24;5,87;32,09;0,2
Chocolate blanco con almendras;547;53,15;8,2;35,15;1,7
Chocolate con leche;550;56;6;34;0
Chocolate dulce u oscuro;528;60,18;4,5;33,2;6,4
Chocolate dulce u oscuro, con almendras.;553;56,48;6,55;33,81;7,7
Chocolate sin leche;530;63;2;30;0
Chorizo;455;1,86;24,1;38,27;0
Chorizo de ternera con queso;402;0,4;15,76;36,99;0
Chuleta de cerdo, asada u horneada;211;0;27,69;10,5;0
Chuleta de cerdo, empanada o enharinada;239;8,4;26,87;10,21;0,6
Chuleta de cerdo, estofada, magra y grasa;211;0;27,69;10,5;0
Chuleta de cerdo, frita, magra y grasa;211;0;27,69;10,5;0
Chuleta de cerdo, rebozada, frita, magra y grasa;281;12,78;22,6;14,97;0,4
Chuleta de ternera frita, magra y grasa;238;9,91;27,29;9,18;0,3
Chuleta de ternera, asada, magra y grasa;215;0;24,59;12,22;0
Churros;481;49,8;3,02;30,58;0,8
Cigala;67;0;15;0.8;0
Cilantro crudo;23;3,67;2,13;0,52;2,8
Ciruela cruda;46;11,42;0,7;0,28;1,4
Ciruelas pasas, papillas, coladas;100;23,52;1;0,2;2,7
Coco fresco;354;15,23;3,33;33,49;9
Cóctel Bacardí;123;16,11;0,08;0,08;0
Codorniz, cocinada;226;0;25;14,04;0
Col rizada, cocida, fresca;28;5,59;1,88;0,4;2
Coles de Bruselas, cocidas, frescas;36;7,06;2,53;0,5;2,6
Coles de Bruselas, crudas;43;8,95;3,38;0,3;3,8
Coliflor cocida, fresca;23;4,08;1,82;0,45;2,3
Coliflor cruda;25;4,97;1,92;0,28;2
Coliflor rebozada, frita;216;14,46;3,91;16,28;1,6
Colinabo crudo;27;6,2;1,7;0,1;3,6
Conejo guisado;210;6,85;17,18;12,44;1
Conejo, salvaje, cocido;172;0;32,88;3,5;0
Congrio;102;0;19;2,8;0
Conguitos;510;50,1;11,7;29,2;0
Coñac;232;0;0;0;0
Corazón Cordero;119;0;17;6;0
Corazón Vacuno;108;0;19;4;0
Cordero, asado;265;0;23,83;18,07;0
Cordero, costillas;358;0;21,95;29,34;0
Cordero, lomo;313;0;24,96;22,89;0
Cordero, paleta;274;0;22,32;19,8;0
Cortezas de piel de cerdo;544;0;61,3;31,3;0
Corvina, al vapor o escalfado;131;0;22,36;3,99;0
Corvina, horneada o asada, grasa no agregada al cocinar;131;0,1;22,4;4;0
Crema chocolate con avellanas;549;60.5;6.2;33;1.2
Crema Leche, Chantilly;331;10;2;31;0
Crepe, liso;223;21,72;8,74;10,95;0,6
Croissant, chocolate;421;49,4;7,4;22,79;3,3
Croissant, queso;414;47;9,2;20,9;2,6
Croqueta de jamón;273;2,58;17,98;20,7;0,2
Cuajada;94;6,7;4,8;5,3;0
Cubitos Sopa;154;8;23;3;0
Daiquiri;119;15,65;0,09;0,09;0,1
Dátiles;282;75,3;2,45;0,39;8
Diente de león verde, crudo;45;9,2;2,7;0,7;3,5
Dorada;140;0;20.82;6.34;0
Emperador;127;0;19;4;0
Emperador a la plancha;177;0,49;23,8;8,23;0
Encurtidos, mezclados;137;36,94;0,39;0,5;1,2
Endibias;25;3,6;1,5;0,24;1,3
Ensalada César de pollo o pavo lechuga, tomate, queso, sin aderezo;65;2,56;9,55;1,88;1,3
Ensalada César, con lechuga romana, sin aderezo;71;6;4,77;3,41;2
Ensalada de atún con huevo;191;2,63;10,53;15,41;0,4
Ensalada de atún con queso;214;2,8;11,54;17,52;0,4
Espárragos cocidos;18;1,91;2,93;0,42;1,6
Espárragos crudos;20;3,88;2,2;0,12;2,1
Espárragos Enlatados (Conserva);24;3,4;1,9;0,3;1
Espinacas cocidas;23;3,39;2,8;0,5;2,4
Espinacas crema fresca;74;5,96;3,32;4,5;1,5
Espinacas crudas;23;3,63;2,86;0,39;2,2
Esturión ahumado;173;0;31,2;4,4;0
Esturión al vapor;132;0;20,3;5,08;0
Extracto de levadura para untar;185;20,42;23,88;0,9;6,5
Faisán cocinado;238;0;32,26;12,05;0
Faneca (pescado blanco);76;1;15,4;1;0
Filete de pollo a la parrilla;145;2,37;22,24;5,2;0,1
Filete de pollo empanado;240;14,86;14,62;13,58;1,7
Filete o chuleta de cerdo, a la parrilla o al horno, magra y grasa;239;0,06;22,96;15,86;0
Filete o chuleta de cerdo, rebozada, frita, magra y grasa;271;7,62;19,87;17,53;0,2
Filete suizo;131;3,55;10,82;8,05;0,9
Filete Vaca;197;0;19;14;0
Flan de huevo;177;29,04;5,22;4,7;0
Fletán crudo;91;0;18,56;1,33;0
Fletán, ahumado;219;0;44,61;3,2;0
Foie-Gras;444;3;10;44;0
Frambuesas, congeladas, sin azúcar;52;11,94;1,2;0,65;6,5
Frambuesas, crudas;52;11,94;1,2;0,65;6,5
Frankfurter, wiener o hot dog;332;3,13;12,3;29,58;0
Fresas congeladas, sin azúcar;35;9,13;0,43;0,11;2,1
Fresas crudas;32;7,68;0,67;0,3;2
Frijol mungo sin grasa añadida en la cocción;104;19,06;6,98;0,38;7,6
Frijoles amarillo sin agregar grasa al cocinar;143;25,14;9,11;1,07;10,3
Frijoles blancos sin grasa añadida en la cocción;138;24,95;9,68;0,35;6,3
Frijoles de lima sin grasa añadida en la cocción;114;20,77;7,76;0,38;7
Frijoles mexicanos pintos sin grasa añadida en la cocción;142;26,07;8,96;0,65;8,9
Frijoles negros, marrones o bayo sin agregar grasa al cocinar;131;23,58;8,81;0,54;8,7
Frijoles rojos sin grasa añadida en la cocción;126;22,67;8,62;0,5;7,4
Frijoles rosados sin grasa añadida en la cocción;148;27,75;9,01;0,49;5,3
Frijoles verdes cocidos, sin grasa añadida en la cocción;68;13,52;4,09;0,39;5
Galleta coco;460;61,22;3,02;22,55;5,1
Galleta de mantequilla;514;63,78;5,37;26,22;1,3
Galleta jengibre;416;76,9;5,6;9,8;2,2
Galleta, almendra;514;63,78;5,37;26,22;1,3
Galleta, avena;450;68,7;6,2;18,1;2,8
Galleta, pasas;401;68;4,1;13,6;1,2
Galletas saladas;418;74,05;9,46;8,64;2,8
Gallo;81;0;15,8;1,9;0
Gambas al ajillo;195;1,77;19,7;11,73;0,1
Gambas cocidas;96;0;19,8;1,7;0
Ganso, salvaje, asado;304;0;25,06;21,83;0
Garbanzos sin grasa añadida en la cocción;163;27,25;8,81;2,57;7,6
Gatorade;39;10;0;0;0
Gazpacho;37;3,84;0,86;2,35;1,1
Germen de trigo;382;49,6;29,1;10,7;15,1
Gin tonic;84;6,57;0;0;0
Ginebra;231;0;0;0;0
Gofio Millo;377;83;6;5;0
Gofio Trigo;371;82;11;2;0
Granada;34;7,5;0,7;0,1;0,2
Grelos;11;0,1;2,7;0;3,9
Grosellas crudas;56;13,8;1,4;0,2;4,3
Guisantes enlatados (conserva);67;9,7;5,6;0,5;3,4
Guisantes, cocidos, frescos, sin grasa añadida en la cocción;126;18,8;5,76;3,47;4
Guisantes, crema fresca;111;12,78;4,69;4,78;3,2
Guisantes, verdes, crudos;81;14,45;5,42;0,4;5,7
Habas secas;343;59;23;1.5;4
Hamburguesa casera;220;16,76;13,8;10,5;0,8
Hamburguesa con queso (Burger King Cheeseburger);270;25,46;13,49;12,9;1,9
Hamburguesa con queso (Burger King WHOPPER con queso);268;17,73;13,69;15,8;1,1
Hamburguesa con queso (Burger King WHOPPER Jr. con queso);225;18,11;11,2;11,88;0,9
Hamburguesa con queso (McDonald's Double Cheeseburger);282;17,97;16,24;16,18;0,9
Hamburguesa con queso (McDonald's Quarter Pounder con queso);269;19,72;15,21;14,4;1,2
Harina Avena;401;73;12;9;7
Harina Centeno;303;68;7;1;9
Harina Maíz;422;90;8;4,5;8,5
Harina Soja;447;24;37;24;12
Harina Trigo, Integral;318;66;13;2;10
Harina Trigo, Panificada;337;75;11;1;3
Helado;209;21;4;12;0
Helado Fruta;140;29;2;2;0
Hígado Cerdo;120;1;21,4;3,7;0
Hígado Pollo;137;1,2;22,1;4,7;0
Hígado Ternera;132;1,6;20,5;4,8;0
Higos;74;19,18;0,75;0,3;2,9
Higos Secos;213;53;4;0;18
Hojas de cardo, cocidas, sin grasa agregada en la cocción;23;3,77;1,89;0,6;0,7
Huevas de arenque;143;1,5;22,32;6,42;0
Huevas de esturión;264;4;24,6;17,9;0
Huevo Duro;145;0,3;12,5;10,5;0
Huevo entero crudo;143;0,72;12,56;9,51;0
Huevo entero frito con aceite.;215;0,76;13,27;17,24;0
Huevo, solo clara, crudo;52;0,73;10,9;0,17;0
Huevo, solo yema, cruda;322;3,59;15,86;26,54;0
Hummus;260;19,86;8,18;17,78;5,9
Jamón Cocido;114;0,4;21;3;0
Jamón de pavo, preenvasado o charcutería;124;2,93;19,6;3,8;0
